URL : https://github.com/mathieusaade/universal-wiki-converter

Tag : 4.0.0

Analysis date : 13/09/2016 15:00

Eclipse version : Luna 4.4.1

Summary (# items / category)
*  231    Potential Porgramming Problems
*   20    Name Shadowing and Conflicts
* 1335    Code Style
*   82    Deprecation
*  711    Type Safety and Raw Types
*  909    Unnecessary Code

Category : Potential Programming Problems
    Description	Resource	Path	Location	Type
    Potential null pointer access: The variable checksum may be null at this location	CopyFile.java	/uwc/src/main/java/com/atlassian/uwc/util	line 37	Java Problem
    Potential null pointer access: The variable checksum may be null at this location	CopyFile.java	/uwc/src/main/java/com/atlassian/uwc/util	line 48	Java Problem
    Potential null pointer access: The variable allPagesMap may be null at this location	MakeParentHomePageOrganizer.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer/customorganizations	line 69	Java Problem
    Potential null pointer access: The variable children may be null at this location	OrganizerTree.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer	line 152	Java Problem
    Potential null pointer access: The variable pages may be null at this location	OrganizerTree.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer	line 114	Java Problem
    Potential null pointer access: The variable sourceNode may be null at this location	DNDTreeSourceListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer	line 66	Java Problem
    The method DNDTreeTargetListener.dragOver(DropTargetDragEvent) is overriding a synchronized method without being synchronized	DNDTreeTargetListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer	line 58	Java Problem
    The method DNDTreeTargetListener.drop(DropTargetDropEvent) is overriding a synchronized method without being synchronized	DNDTreeTargetListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/organizer	line 289	Java Problem
    The enum constant ATTACHMENTS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant COMBOBOX needs a corresponding case label in this enum switch on SaveListener.Component	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 261	Java Problem
    The enum constant CURRENT_TAB needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant FEEDBACK_OPTION needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant LOGIN needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant PAGE_CHOOSER_DIR needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant PAGES needs a corresponding case label in this enum switch on SaveListener.Component	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 261	Java Problem
    The enum constant PAGES needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant PASSWORD needs a corresponding case label in this enum switch on SaveListener.Component	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 261	Java Problem
    The enum constant PASSWORD needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant PATTERN needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant SEND_TO_CONFLUENCE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant SPACE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant TRUSTALL needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant TRUSTPASS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant TRUSTSTORE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant UNKNOWN needs a corresponding case label in this enum switch on SaveListener.Component	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 261	Java Problem
    The enum constant UPLOAD_ORPHAN_ATTACHMENTS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The enum constant WIKITYPE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The switch over the enum type SaveListener.Component should have a default case	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 261	Java Problem
    The switch over the enum type UWCUserSettings.Setting should have a default case	SaveListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 248	Java Problem
    The switch statement should have a default case	ChangeAttachmentCheckboxListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 30	Java Problem
    The switch statement should have a default case	ChangeCheckboxListener.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 73	Java Problem
    The switch statement should have a default case	EnableTextFieldObserver.java	/uwc/src/main/java/com/atlassian/uwc/ui/listeners	line 37	Java Problem
